,0
Route Comparison_DAC-DXB_vs_DAC-CCU,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-AUH_vs_DAC-SIN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-AUH_vs_DAC-KUL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-AUH_vs_DAC-LHR,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-AUH_vs_DAC-MAN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-AUH_vs_DAC-NRT,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-AUH_vs_DAC-DEL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-AUH_vs_DAC-CCU,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-SIN_vs_DAC-KUL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-SIN_vs_DAC-LHR,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-SIN_vs_DAC-MAN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-SIN_vs_DAC-NRT,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-SIN_vs_DAC-DEL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-SIN_vs_DAC-CCU,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-KUL_vs_DAC-LHR,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-KUL_vs_DAC-MAN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-KUL_vs_DAC-NRT,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-KUL_vs_DAC-DEL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-KUL_vs_DAC-CCU,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-LHR_vs_DAC-MAN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-LHR_vs_DAC-NRT,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-LHR_vs_DAC-DEL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-LHR_vs_DAC-CCU,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-MAN_vs_DAC-NRT,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-MAN_vs_DAC-DEL,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-MAN_vs_DAC-CCU,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-NRT_vs_DAC-DEL,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-NRT_vs_DAC-CCU,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-DEL_vs_DAC-CCU,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
